.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
Frequency,No Spike Control,Enumeration Spike Control,30,30,3.132494867,0.001733275,0.031198942,*
Frequency,No Spike Control,0.1cfu,30,30,3.583957493,0.000338427,0.006768544,**
Frequency,No Spike Control,1cfu,30,30,2.982427682,0.002859722,0.048615274,*
Frequency,No Spike Control,10cfu,30,30,4.355731591,1.32623210713414e-05,0.000278509,***
Frequency,No Spike Control,100cfu,30,30,3.257340677,0.001124614,0.02136766,*
Frequency,No Spike Control,1000cfu,30,30,1.490583306,0.13607093,1,ns
Frequency,Enumeration Spike Control,0.1cfu,30,30,0.451462626,0.651656156,1,ns
Frequency,Enumeration Spike Control,1cfu,30,30,-0.150067186,0.880711609,1,ns
Frequency,Enumeration Spike Control,10cfu,30,30,1.223236724,0.221240299,1,ns
Frequency,Enumeration Spike Control,100cfu,30,30,0.12484581,0.90064562,1,ns
Frequency,Enumeration Spike Control,1000cfu,30,30,-1.641911561,0.100608334,1,ns
Frequency,0.1cfu,1cfu,30,30,-0.601529811,0.547487162,1,ns
Frequency,0.1cfu,10cfu,30,30,0.771774098,0.440248236,1,ns
Frequency,0.1cfu,100cfu,30,30,-0.326616816,0.743957723,1,ns
Frequency,0.1cfu,1000cfu,30,30,-2.093374187,0.036315765,0.544736473,ns
Frequency,1cfu,10cfu,30,30,1.373303909,0.169657888,1,ns
Frequency,1cfu,100cfu,30,30,0.274912996,0.783383083,1,ns
Frequency,1cfu,1000cfu,30,30,-1.491844375,0.135739948,1,ns
Frequency,10cfu,100cfu,30,30,-1.098390914,0.272033828,1,ns
Frequency,10cfu,1000cfu,30,30,-2.865148284,0.00416814,0.066690242,ns
Frequency,100cfu,1000cfu,30,30,-1.766757371,0.077268871,1,ns
