"Treatment","ESDilution","Reads","Richness","Shannon","Evenness"
"Heat-killed","1:1000",12534,72,3.10209798890087,0.725354260204577
"Heat-killed","1:1000",20433,42,2.49928160758083,0.668673762751856
"Heat-killed","1:1000",29612,71,3.1674888529987,0.743074531601285
"Heat-killed","1:1000",3590,62,2.92703573761444,0.709217453209355
"Heat-killed","1:10",34873,77,2.81251905379353,0.647478139707581
"Heat-killed","1:10",3529,37,2.29021121890251,0.634246270424194
"Heat-killed","1:10",43247,73,2.50936673956945,0.584871334641445
"Heat-killed","1:10",92975,81,2.99620800990636,0.681816515437575
"Live","1:1000",4140,55,3.14354071368717,0.784447054532803
"Live","1:1000",10058,142,3.93206757269324,0.793423080949167
"Live","1:1000",23502,68,3.16367036204591,0.749772386519169
"Live","1:1000",36826,79,2.97532308177545,0.680938000002806
"Live","1:10",57192,58,1.61655773867004,0.398123489104824
"Live","1:10",837,28,2.890098419786,0.867323242304249
"Live","1:10",20604,53,2.58857166116985,0.651985223639114
"Live","1:10",14558,42,2.19941421981801,0.588445326750992
