"Treatment","spike","Reads","Richness","Shannon","Evenness"
"-1","1:1000",93873,26,2.11612929877535,0.649498648698848
"-1","1:1000",92879,30,2.06389518386688,0.606814292811862
"-1","1:1000",92286,30,2.23991478897589,0.658566539258375
"-1","1:1000",103879,34,2.27908874473111,0.646300549482014
"-1","1:10",90857,30,2.15877069241932,0.634709030431023
"-1","1:10",96058,29,2.15224862713486,0.639162323657052
"-1","1:10",95748,29,2.06815625339093,0.614189057870581
"-1","1:10",97892,29,2.15661920769524,0.64046027334162
"-2","1:1000",98275,50,2.43573530226653,0.622628061973771
"-2","1:1000",94884,65,2.41481905134379,0.578484672171818
"-2","1:1000",95236,27,2.05438207392919,0.623326383389783
"-2","1:1000",108359,58,2.07094973918139,0.510030490220498
"-2","1:10",102850,33,2.04537008109919,0.584975163114285
"-2","1:10",101119,36,2.06746970435088,0.576938406035496
"-2","1:10",96552,74,2.43175880105594,0.564991176572939
"-2","1:10",89770,52,2.09104796304762,0.529212600380507
"-3","1:1000",11815,64,3.03863207627289,0.730636571254172
"-3","1:1000",34358,76,2.97500529571165,0.686951853635706
"-3","1:1000",18046,65,2.50956874784817,0.601182541434617
"-3","1:1000",41284,117,3.12191125138509,0.655564306161293
"-3","1:10",27948,71,2.95985211159426,0.694364155172886
"-3","1:10",88331,70,2.31190310659891,0.544169870714909
"-3","1:10",2180,31,2.30295477181419,0.670635804584912
"-3","1:10",95215,61,1.92458656530721,0.468169695519042
"-4","1:1000",105025,72,2.34666272320887,0.5487130998547
"-4","1:1000",96157,74,2.26507665035539,0.526264496773479
"-4","1:1000",18956,75,3.30603328004136,0.765730719599711
"-4","1:1000",48207,53,2.07848432189409,0.5235091945757
"-4","1:10",90745,92,2.74890840681845,0.607925019044656
"-4","1:10",102555,54,2.8363874284604,0.7110550945681
"-4","1:10",78748,193,3.90089481340252,0.741235883812165
"-4","1:10",98803,139,2.13344586040713,0.432355280282848
"-5","1:1000",102263,82,3.06462702625746,0.695444128454523
"-5","1:1000",110930,75,2.66513998555812,0.617289478389598
"-5","1:1000",112320,77,2.75255002837455,0.633672497052117
"-5","1:1000",99938,97,3.23281447378156,0.706670757775211
"-5","1:10",98782,77,2.9478966215362,0.678643800826191
"-5","1:10",98999,77,3.00434472957682,0.691638882916338
"-5","1:10",100835,64,2.83178914184618,0.680901358630782
"-5","1:10",109076,74,2.75510830650174,0.640117713566153
"-6","1:1000",90263,187,3.54465657624453,0.677610968509367
"-6","1:1000",109419,69,2.96800014151252,0.700974370458079
"-6","1:1000",105604,101,3.21902611969883,0.697495570907005
"-6","1:1000",104369,57,3.0004231641392,0.742118505399568
"-6","1:10",98240,81,2.94660097965796,0.670527949225436
"-6","1:10",105638,134,3.3738966863199,0.688854030373496
"-6","1:10",101829,94,3.15632031368417,0.694720564028018
"-6","1:10",97436,99,3.09940556263085,0.674499395818821
