"Treatment","Lysis","Reads"
"Listeria","Gram-negative Lysis",9
"Listeria","Gram-negative Lysis",24
"Listeria","Gram-negative Lysis",17
"Listeria","Gram-positive Lysis",196
"Listeria","Gram-positive Lysis",247
"Listeria","Gram-positive Lysis",229
"Salmonella","Gram-negative Lysis",24777
"Salmonella","Gram-negative Lysis",17602
"Salmonella","Gram-negative Lysis",21001
"Salmonella","Gram-positive Lysis",22234
"Salmonella","Gram-positive Lysis",15013
"Salmonella","Gram-positive Lysis",13067
"Campylobacter","Gram-negative Lysis",60279
"Campylobacter","Gram-negative Lysis",60663
"Campylobacter","Gram-negative Lysis",60952
"Campylobacter","Gram-positive Lysis",63385
"Campylobacter","Gram-positive Lysis",73245
"Campylobacter","Gram-positive Lysis",60487
