Sample_ID,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Allobacillus;s__Allobacillus_halotolerans,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;__,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria;s__Listeria_monocytogenes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Imtechella;s__Imtechella_halotolerans,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella_enterica
BCA1,0,0,0,0,0
BCA2,0,0,0,0,0
BCA3,0,0,0,0,0
BCA4,0,0,0,0,0
BCA5,0,0,0,0,0
BCA6,0,0,0,0,0
BCA7,5,0,0,0,0
BCA8,0,0,0,0,0
BCB1,0,6,0,0,0
BCB2,0,0,7,0,0
BCB3,0,0,0,0,0
BCB4,0,0,0,0,7
BCB5,0,0,0,4,0
BCB6,86,0,0,93,0
BCB7,0,0,11,0,0
BCB8,0,0,0,6,0
BCC1,33,0,0,4,0
BCC2,0,0,0,2,0
BCC3,0,3,0,0,0
BCC4,0,0,0,0,0
BCC5,198,0,0,1068,0
BCC6,806,0,0,119,46
BCC7,0,0,0,4,0
BCC8,898,0,0,504,4
BCD1,135,1624,1191,64,81
BCD2,24,579,1569,0,17
BCD3,0,122,107,0,35
BCD4,0,631,568,0,0
BCD5,2178,0,0,134,54
BCD6,1119,0,0,0,0
BCD7,2254,0,714,417,0
BCD8,85,0,0,115,0
BCE1,117,854,3754,0,171
BCE2,166,547,1706,0,0
BCE3,0,154,1122,0,0
BCE4,247,2204,5048,0,165
BCE5,2727,0,0,0,186
BCE6,8513,0,0,1154,1200
BCE7,3497,0,0,0,152
BCE8,39,0,0,0,0
BCF1,0,627,835,0,24
BCF2,0,191,1259,0,0
BCF3,0,674,390,0,0
BCF4,163,8753,9120,298,473
BCF5,5251,0,0,1203,176
BCF6,3547,0,0,1313,71
BCF7,5864,0,0,79,428
BCF8,4891,0,0,2188,453
